Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
607,60,80,15693,False,3.5,0,31/05/2025 11:41:04,False,0,1,93,74.2,9414,,3.4,102,31/05/2025 14:17:53,False,0,1,3818148C,93,2,14,GF,60/80,1022,1022,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
60,20.7,0,2,0.7,0.1,0.57,0,22,0,0,20,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
62,21.5,0,2,0.7,0.1,0.57,0,22,0,0,20,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
64,22.2,0,3,0.7,0.1,0.57,0,16,0,0,19,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
66,23,0,3,0.7,0.1,0.57,0,16,0,0,19,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
68,23.8,0,3,0.7,0.1,0.57,0,16,0,0,19,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
70,24.4,0,3,0.7,0.1,0.57,0,13,0,0,19,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
72,25.2,0,3,0.7,0.1,0.57,0,13,0,0,19,False,True,0,0,0,0,200,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
74,26.1,0,3,0.7,0.1,0.57,0,13,0,0,19,False,True,0,0,0,0,200,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
76,26.9,0,3,0.7,0.1,0.57,0,13,0,0,19,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
78,27.8,0,3,0.7,0.1,0.57,0,13,0,0,19,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
80,28.5,0,3,0.7,0.1,0.57,0,8,0,0,18,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
82,29.2,0,3,0.7,0.1,0.57,0,8,0,0,18,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
84,29.9,0,3,0.7,0.1,0.57,0,7,0,0,18,False,True,0,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
86,30.6,0,3,1.3,0.1,0.57,0,14,0,0,18,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
88,31.4,0,3,1.3,0.1,0.57,0,14,0,0,18,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
90,32.1,0,3,1.3,0.1,0.57,0,14,0,0,18,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
92,32.9,0,3,1.3,0.1,0.57,0,14,0,0,18,False,True,1,0,0,0,200,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
